FECHA_OPERACION,VENTA,VENTA_FORE,FORE_LOWER,FORE_UPPER
2023-07-04,342272.66,342272.65625,342272.65625,342272.65625
2023-07-05,289449.16,289449.15625,289449.15625,289449.15625
2023-07-06,353063.56,353063.5625,353063.5625,353063.5625
2023-07-07,252757.42,252757.421875,252757.421875,252757.421875
2023-07-08,205773.89,205773.890625,205773.890625,205773.890625
2023-07-09,294810.7,294810.6875,294810.6875,294810.6875
2023-07-10,299804.16,299804.15625,299804.15625,299804.15625
2023-07-11,303186.88,303186.875,303186.875,303186.875
2023-07-12,431702.9,431702.90625,431702.90625,431702.90625
2023-07-13,411130.03,411130.03125,411130.03125,411130.03125
2023-07-14,314842.88,314842.875,314842.875,314842.875
2023-07-15,268974.6,268974.59375,268974.59375,268974.59375
2023-07-16,314194.8,314194.8125,314194.8125,314194.8125
2023-07-17,453070.84,453070.84375,453070.84375,453070.84375
2023-07-18,311681.88,311681.875,311681.875,311681.875
2023-07-19,335690.84,335690.84375,335690.84375,335690.84375
2023-07-20,398706.97,398706.96875,398706.96875,398706.96875
2023-07-21,319263.75,319263.75,319263.75,319263.75
2023-07-22,273668.1,273668.09375,273668.09375,273668.09375
2023-07-23,287951.47,287951.46875,287951.46875,287951.46875
2023-07-24,412496.9,412496.90625,412496.90625,412496.90625
2023-07-25,363197.06,363197.0625,363197.0625,363197.0625
2023-07-26,318787.9,318787.90625,318787.90625,318787.90625
2023-07-27,317668.6,317668.59375,317668.59375,317668.59375
2023-07-28,407574.25,407574.25,407574.25,407574.25
2023-07-29,291416.06,291416.0625,291416.0625,291416.0625
2023-07-30,307192.62,307192.625,307192.625,307192.625
2023-07-31,375898.22,375898.21875,375898.21875,375898.21875
2023-08-01,367733.28,367733.28125,367733.28125,367733.28125
2023-08-02,387203.4,387203.40625,387203.40625,387203.40625
2023-08-03,390407.2,390407.1875,390407.1875,390407.1875
2023-08-04,322268.88,322268.875,322268.875,322268.875
2023-08-05,263614.8,263614.8125,263614.8125,263614.8125
2023-08-06,303768.34,303768.34375,303768.34375,303768.34375
2023-08-07,337563.34,337563.34375,337563.34375,337563.34375
2023-08-08,447471.22,447471.21875,447471.21875,447471.21875
2023-08-09,365901.34,365901.34375,365901.34375,365901.34375
2023-08-10,388275.4,388275.40625,388275.40625,388275.40625
2023-08-11,316422.56,316422.5625,316422.5625,316422.5625
2023-08-12,276166.0,276166.0,276166.0,276166.0
2023-08-13,271364.84,271364.84375,271364.84375,271364.84375
2023-08-14,442964.16,442964.15625,442964.15625,442964.15625
2023-08-15,415998.72,415998.71875,415998.71875,415998.71875
2023-08-16,396778.3,396778.3125,396778.3125,396778.3125
2023-08-17,301100.6,301100.59375,301100.59375,301100.59375
2023-08-18,365327.44,365327.4375,365327.4375,365327.4375
2023-08-19,214359.27,214359.265625,214359.265625,214359.265625
2023-08-20,218798.72,218798.71875,218798.71875,218798.71875
2023-08-21,324910.47,324910.46875,324910.46875,324910.46875
2023-08-22,355871.72,355871.71875,355871.71875,355871.71875
2023-08-23,448563.4,448563.40625,448563.40625,448563.40625
2023-08-24,379547.22,379547.21875,379547.21875,379547.21875
2023-08-25,422474.16,422474.15625,422474.15625,422474.15625
2023-08-26,249144.72,249144.71875,249144.71875,249144.71875
2023-08-27,159013.42,159013.421875,159013.421875,159013.421875
2023-08-28,378922.4,378922.40625,378922.40625,378922.40625
2023-08-29,295330.78,295330.78125,295330.78125,295330.78125
2023-08-30,294051.16,294051.15625,294051.15625,294051.15625
2023-08-31,286559.53,286559.53125,286559.53125,286559.53125
2023-09-01,323103.3,323103.3125,323103.3125,323103.3125
2023-09-02,332011.22,332011.21875,332011.21875,332011.21875
2023-09-03,311513.5,311513.5,311513.5,311513.5
2023-09-04,313075.2,313075.1875,313075.1875,313075.1875
2023-09-05,348605.4,348605.40625,348605.40625,348605.40625
2023-09-06,278815.7,278815.6875,278815.6875,278815.6875
2023-09-07,341149.6,341149.59375,341149.59375,341149.59375
2023-09-08,312370.8,312370.8125,312370.8125,312370.8125
2023-09-09,210913.75,210913.75,210913.75,210913.75
2023-09-10,282141.56,282141.5625,282141.5625,282141.5625
2023-09-11,275929.4,275929.40625,275929.40625,275929.40625
2023-09-12,324713.47,324713.46875,324713.46875,324713.46875
2023-09-13,307770.53,307770.53125,307770.53125,307770.53125
2023-09-14,279692.4,279692.40625,279692.40625,279692.40625
2023-09-15,316316.5,316316.5,316316.5,316316.5
2023-09-16,211242.19,211242.1875,211242.1875,211242.1875
2023-09-17,237523.19,237523.1875,237523.1875,237523.1875
2023-09-18,299572.5,299572.5,299572.5,299572.5
2023-09-19,396408.3,396408.3125,396408.3125,396408.3125
2023-09-20,276813.44,276813.4375,276813.4375,276813.4375
2023-09-21,291259.84,291259.84375,291259.84375,291259.84375
2023-09-22,386025.12,386025.125,386025.125,386025.125
2023-09-23,364406.72,364406.71875,364406.71875,364406.71875
2023-09-24,302662.12,302662.125,302662.125,302662.125
2023-09-25,338143.0,338143.0,338143.0,338143.0
2023-09-26,333544.62,333544.625,333544.625,333544.625
2023-09-27,348534.9,348534.90625,348534.90625,348534.90625
2023-09-28,345940.88,345940.875,345940.875,345940.875
2023-09-29,359610.4,359610.40625,359610.40625,359610.40625
2023-09-30,293328.44,293328.4375,293328.4375,293328.4375
2023-10-01,273832.06,273832.0625,273832.0625,273832.0625
2023-10-02,391795.5,391795.5,391795.5,391795.5
2023-10-03,341152.72,341152.71875,341152.71875,341152.71875
2023-10-04,261864.4,261864.40625,261864.40625,261864.40625
2023-10-05,349646.4,349646.40625,349646.40625,349646.40625
2023-10-06,325072.34,325072.34375,325072.34375,325072.34375
2023-10-07,346850.66,346850.65625,346850.65625,346850.65625
2023-10-08,246640.05,246640.046875,246640.046875,246640.046875
2023-10-09,354309.94,354309.9375,354309.9375,354309.9375
2023-10-10,343892.44,343892.4375,343892.4375,343892.4375
2023-10-11,333361.62,333361.625,333361.625,333361.625
2023-10-12,358471.84,358471.84375,358471.84375,358471.84375
2023-10-13,420119.34,420119.34375,420119.34375,420119.34375
2023-10-14,255311.62,255311.625,255311.625,255311.625
2023-10-15,330698.72,330698.71875,330698.71875,330698.71875
2023-10-16,397123.06,397123.0625,397123.0625,397123.0625
2023-10-17,395970.75,395970.75,395970.75,395970.75
2023-10-18,335535.28,335535.28125,335535.28125,335535.28125
2023-10-19,454680.03,454680.03125,454680.03125,454680.03125
2023-10-20,334666.5,334666.5,334666.5,334666.5
2023-10-21,287575.94,287575.9375,287575.9375,287575.9375
2023-10-22,259594.17,259594.171875,259594.171875,259594.171875
2023-10-23,357850.5,357850.5,357850.5,357850.5
2023-10-24,437435.62,437435.625,437435.625,437435.625
2023-10-25,413234.94,413234.9375,413234.9375,413234.9375
2023-10-26,404423.9,404423.90625,404423.90625,404423.90625
2023-10-27,373028.38,373028.375,373028.375,373028.375
2023-10-28,346025.53,346025.53125,346025.53125,346025.53125
2023-10-29,491991.28,491991.28125,491991.28125,491991.28125
2023-10-30,359616.28,359616.28125,359616.28125,359616.28125
2023-10-31,340328.8,340328.8125,340328.8125,340328.8125
2023-11-01,288375.5,288375.5,288375.5,288375.5
2023-11-02,311970.6,311970.59375,311970.59375,311970.59375
2023-11-03,335679.75,335679.75,335679.75,335679.75
2023-11-04,271258.72,271258.71875,271258.71875,271258.71875
2023-11-05,389214.0,389214.0,389214.0,389214.0
2023-11-06,424950.78,424950.78125,424950.78125,424950.78125
2023-11-07,556588.56,556588.5625,556588.5625,556588.5625
2023-11-08,375453.5,375453.5,375453.5,375453.5
2023-11-09,357921.7,357921.6875,357921.6875,357921.6875
2023-11-10,332405.38,332405.375,332405.375,332405.375
